problem_id,Question,A,B,C,D,Answer,config,split,question_with_options,reference_solution,judge_models,cognitive_level,knowledge_dimension,method_difficulty,definition_completeness,knowledge_breadth,reasoning_type,solution_steps,human_grade,human_cognitive_level,human_depth_of_knowledge,human_grade_num,human_difficulty,cognitive_level_o4-mini,knowledge_dimension_o4-mini,method_difficulty_o4-mini,definition_completeness_o4-mini,knowledge_breadth_o4-mini,reasoning_type_o4-mini,solution_steps_o4-mini,cognitive_level_Claude-3.7-sonnet,knowledge_dimension_Claude-3.7-sonnet,method_difficulty_Claude-3.7-sonnet,definition_completeness_Claude-3.7-sonnet,knowledge_breadth_Claude-3.7-sonnet,reasoning_type_Claude-3.7-sonnet,solution_steps_Claude-3.7-sonnet,cognitive_level_gemini-2.5-pro,knowledge_dimension_gemini-2.5-pro,method_difficulty_gemini-2.5-pro,definition_completeness_gemini-2.5-pro,knowledge_breadth_gemini-2.5-pro,reasoning_type_gemini-2.5-pro,solution_steps_gemini-2.5-pro
ARCCH_Mercury_7206395,A student observes the time it takes a marble to roll down a ramp four times. Which of these displays will best communicate the student's observations?,a pie chart with four different sections,a line graph with continuous data points,a bar graph with a bar for each trial,a table with four rows and four columns,C,ARC-Challenge,test,"Answer the following multi-choice question:
A student observes the time it takes a marble to roll down a ramp four times. Which of these displays will best communicate the student's observations?

Options:
A. a pie chart with four different sections
B. a line graph with continuous data points
C. a bar graph with a bar for each trial
D. a table with four rows and four columns
","Let’s consider each option in turn:

1. Pie chart with four sections  
   - Pie charts show parts of a whole (percentages or proportions). Here we have four separate time measurements, not parts of a total.  

2. Line graph with continuous data points  
   - Line graphs are best for showing trends in continuous data over an interval (e.g., time series). Our trials are discrete events, so connecting them with a continuous line could be misleading.  

3. Bar graph with a bar for each trial  
   - A bar graph clearly compares discrete categories (Trial 1, Trial 2, Trial 3, Trial 4) and their corresponding times. This lets us see at a glance which trial was fastest or slowest.  

4. Table with four rows and four columns  
   - A table can record the data but doesn’t communicate patterns or comparisons as effectively as a graph.  

The best way to communicate and compare the four separate time measurements is a bar graph with one bar per trial.  

Answer: C","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Evaluate', 'Evaluate', 'Evaluate')","('Conceptual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Low')","('yes', 'no', 'no')","('Single-Discipline', 'Single-Discipline', 'Multi-Discipline')","('Deductive', 'Deductive', 'Deductive')","(5, 5, 6)",Grade 08,Applying,II,8,Medium,Evaluate,Conceptual,Low,yes,Single-Discipline,Deductive,5,Evaluate,Conceptual,Low,no,Single-Discipline,Deductive,5,Evaluate,Conceptual,Low,no,Multi-Discipline,Deductive,6
ARCCH_Mercury_7126683,"Carbon on Earth is found in both living and nonliving matter. In order for carbon to be continuously available, it must be recycled. Through which process is carbon made available in the atmosphere?",formation of fossil fuels,layering of soil,plant photosynthesis,forest fires,D,ARC-Challenge,train,"Answer the following multi-choice question:
Carbon on Earth is found in both living and nonliving matter. In order for carbon to be continuously available, it must be recycled. Through which process is carbon made available in the atmosphere?

Options:
A. formation of fossil fuels
B. layering of soil
C. plant photosynthesis
D. forest fires
","To determine which process returns carbon to the atmosphere, let’s consider what each option does to atmospheric carbon:

A) Formation of fossil fuels  
- This process removes carbon from the active cycle by storing it underground over millions of years. It does not release carbon back into the atmosphere.

B) Layering of soil  
- When organic matter becomes part of soil layers, carbon is being sequestered in the ground rather than released.

C) Plant photosynthesis  
- Photosynthesis takes carbon dioxide out of the atmosphere and incorporates it into plant biomass, so it actually decreases atmospheric carbon.

D) Forest fires  
- Burning plant material oxidizes the carbon compounds in trees and vegetation, releasing carbon dioxide back into the atmosphere.

Thus, the process that directly makes carbon available again in the atmosphere is forest fires.  
Answer: D","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Analyze', 'Analyze', 'Analyze')","('Conceptual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Low')","('yes', 'no', 'yes')","('Multi-Discipline', 'Single-Discipline', 'Multi-Discipline')","('Deductive', 'Deductive', 'Deductive')","(6, 2, 5)",Grade 08,Applying,II,8,Medium,Analyze,Conceptual,Low,yes,Multi-Discipline,Deductive,6,Analyze,Conceptual,Low,no,Single-Discipline,Deductive,2,Analyze,Conceptual,Low,yes,Multi-Discipline,Deductive,5
ARCCH_Mercury_7107328,Two different species evolving from a common ancestor most likely occurs,within three generations.,over a long period of time.,when a species is overpopulated.,when there are abundant resources.,B,ARC-Challenge,test,"Answer the following multi-choice question:
Two different species evolving from a common ancestor most likely occurs

Options:
A. within three generations.
B. over a long period of time.
C. when a species is overpopulated.
D. when there are abundant resources.
","Step-by-step reasoning:

1. Speciation is the process by which populations diverge genetically and become reproductively isolated, forming new species.  
2. Genetic differences accumulate through mutation, natural selection, genetic drift, or geographic isolation.  
3. These processes require many generations for enough genetic divergence to produce reproductive barriers.  
4. Rapid speciation in just a few generations (e.g., three) is virtually impossible for most organisms.  
5. Overpopulation or abundant resources alone do not directly drive the genetic isolation needed for speciation.

Answer: B","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Analyze', 'Analyze', 'Evaluate')","('Conceptual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Low')","('yes', 'yes', 'yes')","('Single-Discipline', 'Single-Discipline', 'Single-Discipline')","('Deductive', 'Deductive', 'Deductive')","(5, 5, 5)",Grade 08,Applying,II,8,Medium,Analyze,Conceptual,Low,yes,Single-Discipline,Deductive,5,Analyze,Conceptual,Low,yes,Single-Discipline,Deductive,5,Evaluate,Conceptual,Low,yes,Single-Discipline,Deductive,5
ARCEZ_Mercury_SC_402161,One way that students can help conserve natural resources at school is by,recycling aluminum cans.,emptying waste baskets.,wearing warmer clothes.,eating all of their lunch.,A,ARC-Easy,train,"Answer the following multi-choice question:
One way that students can help conserve natural resources at school is by

Options:
A. recycling aluminum cans.
B. emptying waste baskets.
C. wearing warmer clothes.
D. eating all of their lunch.
","Step 1: Define “conserve natural resources” – it means using less raw material (like metals, water, energy) so that they last longer.  
Step 2: Evaluate each choice:  
- A) Recycling aluminum cans means the cans are remade into new products without mining new aluminum ore. This directly saves bauxite ore, energy, and other resources.  
- B) Emptying waste baskets is just tidying up; it doesn’t reduce resource consumption.  
- C) Wearing warmer clothes may reduce heating energy use a bit, but it’s not a school‐wide resource conservation practice.  
- D) Eating all of one’s lunch cuts down on food waste, but the impact on conserving raw materials is smaller and indirect.  
Step 3: Choose the most direct way to conserve natural resources at school.  
Answer: A","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Evaluate', 'Analyze', 'Evaluate')","('Conceptual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Low')","('yes', 'no', 'no')","('Single-Discipline', 'Single-Discipline', 'Single-Discipline')","('Deductive', 'Deductive', 'Deductive')","(6, 3, 6)",Grade 05,Applying,II,5,Medium,Evaluate,Conceptual,Low,yes,Single-Discipline,Deductive,6,Analyze,Conceptual,Low,no,Single-Discipline,Deductive,3,Evaluate,Conceptual,Low,no,Single-Discipline,Deductive,6
ARCEZ_Mercury_7056473,"If Earth revolved at a faster rate, what would most likely occur?",Annual rainfall would increase.,Daylight hours would decrease.,Seasons would be shorter.,Annual temperature variation would be greater.,C,ARC-Easy,test,"Answer the following multi-choice question:
If Earth revolved at a faster rate, what would most likely occur?

Options:
A. Annual rainfall would increase.
B. Daylight hours would decrease.
C. Seasons would be shorter.
D. Annual temperature variation would be greater.
","Let’s interpret “revolve” as Earth’s orbital motion around the Sun (i.e., one revolution = one year).  
1. A faster orbital rate means Earth completes its orbit in less time.  
2. A shorter orbital period directly shortens the length of a year.  
3. Seasons are segments of the year (roughly one quarter each). If the year is shorter, each season is correspondingly shorter.  
4. The other choices do not logically follow from a faster orbital speed:  
   - Annual rainfall depends on climate patterns, not directly on orbital period.  
   - Daylight hours depend on Earth’s rotation on its axis, not its orbital speed.  
   - Annual temperature variation is driven by axial tilt and orbital eccentricity, not the length of the year itself.  

Answer: C","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Analyze', 'Analyze', 'Analyze')","('Conceptual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Medium')","('no', 'no', 'no')","('Single-Discipline', 'Multi-Discipline', 'Multi-Discipline')","('Deductive', 'Deductive', 'Deductive')","(7, 4, 7)",Grade 08,Applying,II,8,High,Analyze,Conceptual,Low,no,Single-Discipline,Deductive,7,Analyze,Conceptual,Low,no,Multi-Discipline,Deductive,4,Analyze,Conceptual,Medium,no,Multi-Discipline,Deductive,7
ARCEZ_Mercury_7098105,"Alicia gives her brother a push while he is seated on a swing. She finds that after a few seconds, she needs to push again to keep him going. The reason her brother slows down is because the mechanical energy is converted into",potential energy that heats the air.,chemical energy that moves the swing.,kinetic energy which makes the swing slow down.,thermal energy that is released into the atmosphere.,D,ARC-Easy,train,"Answer the following multi-choice question:
Alicia gives her brother a push while he is seated on a swing. She finds that after a few seconds, she needs to push again to keep him going. The reason her brother slows down is because the mechanical energy is converted into

Options:
A. potential energy that heats the air.
B. chemical energy that moves the swing.
C. kinetic energy which makes the swing slow down.
D. thermal energy that is released into the atmosphere.
","First, identify the forms of energy involved in the swing’s motion:

1. As the swing moves up and down, its energy repeatedly oscillates between kinetic energy (maximum at the bottom) and gravitational potential energy (maximum at the endpoints).  
2. If only conservative forces were acting, no energy would be lost and the swing would keep going indefinitely.  
3. In reality, nonconservative forces—primarily air resistance and friction at the pivot—do work against the swing’s motion.  
4. These forces convert some of the swing’s mechanical energy into internal (thermal) energy in the air and in the swing’s components.  
5. As mechanical energy is lost to thermal energy, the swing’s amplitude (and speed) decreases, so Alicia must push again to restore the lost energy.

Thus, the mechanical energy is converted into thermal energy that is released into the atmosphere.

Answer: D","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Apply', 'Apply', 'Analyze')","('Conceptual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Low')","('yes', 'no', 'yes')","('Single-Discipline', 'Single-Discipline', 'Single-Discipline')","('Deductive', 'Deductive', 'Deductive')","(5, 5, 4)",Grade 08,Applying,II,8,Medium,Apply,Conceptual,Low,yes,Single-Discipline,Deductive,5,Apply,Conceptual,Low,no,Single-Discipline,Deductive,5,Analyze,Conceptual,Low,yes,Single-Discipline,Deductive,4
ARCEZ_Mercury_7142958,Which statement describes a primary function of the cell wall of a plant cell?,The cell wall performs photosynthesis.,The cell wall stores DNA.,The cell wall provides structural support.,The cell wall manufactures proteins.,C,ARC-Easy,test,"Answer the following multi-choice question:
Which statement describes a primary function of the cell wall of a plant cell?

Options:
A. The cell wall performs photosynthesis.
B. The cell wall stores DNA.
C. The cell wall provides structural support.
D. The cell wall manufactures proteins.
","Step 1: Identify the role of the plant cell wall. It is made of cellulose fibers.  
Step 2: Recall that cellulose provides rigidity and resists internal turgor pressure.  
Step 3: Eliminate incorrect options:  
- Photosynthesis is done by chloroplasts (not the cell wall).  
- DNA is stored in the nucleus.  
- Proteins are manufactured by ribosomes and the rough ER.  
Step 4: Conclude that the cell wall’s primary role is to give the cell its shape and structural strength.

Answer: C","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Apply', 'Remember', 'Remember')","('Factual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Low')","('yes', 'yes', 'yes')","('Single-Discipline', 'Single-Discipline', 'Single-Discipline')","('Deductive', 'Deductive', 'Deductive')","(4, 3, 6)",Grade 07,Applying,II,7,Low,Apply,Factual,Low,yes,Single-Discipline,Deductive,4,Remember,Conceptual,Low,yes,Single-Discipline,Deductive,3,Remember,Conceptual,Low,yes,Single-Discipline,Deductive,6
ARCEZ_Mercury_7018200,Neutrons are particles of an atom that,are part of the nucleus.,are located outside the nucleus.,have positive charges.,have negative charges.,A,ARC-Easy,validation,"Answer the following multi-choice question:
Neutrons are particles of an atom that

Options:
A. are part of the nucleus.
B. are located outside the nucleus.
C. have positive charges.
D. have negative charges.
","Let’s analyze each option:

1. Location of neutrons  
   Neutrons are one of the two types of nucleons (the other being protons), and both are found in the atomic nucleus. Electrons, not neutrons, are located outside the nucleus.

2. Charge of neutrons  
   By definition, neutrons carry no electric charge—they are electrically neutral. Protons carry a positive charge, and electrons carry a negative charge.

Now check each choice:

A) are part of the nucleus.  
   True: Neutrons reside in the nucleus.

B) are located outside the nucleus.  
   False: That describes electrons.

C) have positive charges.  
   False: That describes protons.

D) have negative charges.  
   False: That describes electrons.

Answer: A","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Remember', 'Remember', 'Remember')","('Factual', 'Factual', 'Factual')","('Low', 'Low', 'Low')","('yes', 'yes', 'yes')","('Single-Discipline', 'Single-Discipline', 'Single-Discipline')","('Deductive', 'Deductive', 'Deductive')","(3, 2, 7)",Grade 08,Applying,II,8,Medium,Remember,Factual,Low,yes,Single-Discipline,Deductive,3,Remember,Factual,Low,yes,Single-Discipline,Deductive,2,Remember,Factual,Low,yes,Single-Discipline,Deductive,7
ARCEZ_Mercury_SC_400024,"Which method below would be the best way to determine if an egg, plastic foam, a piece of wood, or a candle would float on water?",observing each object in water,measuring the size of each object,calculating the weight of the objects,comparing the shapes of the objects,A,ARC-Easy,train,"Answer the following multi-choice question:
Which method below would be the best way to determine if an egg, plastic foam, a piece of wood, or a candle would float on water?

Options:
A. observing each object in water
B. measuring the size of each object
C. calculating the weight of the objects
D. comparing the shapes of the objects
","To determine if an object will float, you need to actually place it in water and observe whether it sinks or floats. Other measurements (size, weight, or shape) alone don’t reliably predict floatation without knowing density. 

Answer: A","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Evaluate', 'Analyze', 'Evaluate')","('Conceptual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Low')","('yes', 'yes', 'yes')","('Single-Discipline', 'Single-Discipline', 'Single-Discipline')","('Inductive', 'Deductive', 'Inductive')","(3, 1, 6)",Grade 05,Applying,II,5,Medium,Evaluate,Conceptual,Low,yes,Single-Discipline,Inductive,3,Analyze,Conceptual,Low,yes,Single-Discipline,Deductive,1,Evaluate,Conceptual,Low,yes,Single-Discipline,Inductive,6
ARCEZ_Mercury_SC_408983,"Farmers in the 1800s used axes to clear trees from farmland. Now, farmers use chainsaws to clear the trees. How do chainsaws most likely help farmers?",Farmers can cut different types of trees.,Farmers can remove more trees in less time.,Farmers can replant more trees in the fields.,Farmers can produce more products from the trees.,B,ARC-Easy,train,"Answer the following multi-choice question:
Farmers in the 1800s used axes to clear trees from farmland. Now, farmers use chainsaws to clear the trees. How do chainsaws most likely help farmers?

Options:
A. Farmers can cut different types of trees.
B. Farmers can remove more trees in less time.
C. Farmers can replant more trees in the fields.
D. Farmers can produce more products from the trees.
","To determine how chainsaws most likely help farmers compared to axes, consider the key differences between the tools:

1. Functionality: Both axes and chainsaws serve the same basic function—cutting trees and logs.  
2. Efficiency: Chainsaws are powered machines with a fast-moving chain that slices through wood rapidly. An axe relies on human muscle power and requires repeated swings.  
3. Time savings: Because a chainsaw cuts much more quickly and with less physical effort, a farmer can clear a larger area of trees in the same amount of time (or clear the same area in much less time) compared to using an axe.  

Therefore, the most likely benefit of switching from axes to chainsaws is that farmers can remove more trees in less time.

Answer: B","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Analyze', 'Apply', 'Analyze')","('Conceptual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Low')","('yes', 'no', 'yes')","('Single-Discipline', 'Single-Discipline', 'Multi-Discipline')","('Deductive', 'Deductive', 'Deductive')","(4, 3, 4)",Grade 05,Applying,II,5,Medium,Analyze,Conceptual,Low,yes,Single-Discipline,Deductive,4,Apply,Conceptual,Low,no,Single-Discipline,Deductive,3,Analyze,Conceptual,Low,yes,Multi-Discipline,Deductive,4
ARCCH_Mercury_7103233,Which question can be answered using an investigation done by a science class?,What is the climate on Jupiter?,Do plants grow differently with and without light?,Where is the warmest place on Earth that has life?,How far do monarch butterflies migrate?,B,ARC-Challenge,train,"Answer the following multi-choice question:
Which question can be answered using an investigation done by a science class?

Options:
A. What is the climate on Jupiter?
B. Do plants grow differently with and without light?
C. Where is the warmest place on Earth that has life?
D. How far do monarch butterflies migrate?
","To determine which question a science class can investigate experimentally, consider what’s feasible with typical classroom materials and time constraints:

1. Option A asks about the climate on Jupiter.  
   - Investigating Jupiter’s climate requires spacecraft data or advanced telescopic observations, neither of which are available in a classroom.

2. Option B asks whether plants grow differently with and without light.  
   - A class can set up potted plants, provide light to some and deprive others, then measure growth. This is a straightforward, controlled experiment.

3. Option C asks where the warmest place on Earth with life exists.  
   - Determining this requires global temperature and biodiversity data, field expeditions to extreme environments, or extensive literature review—beyond a typical classroom’s scope.

4. Option D asks how far monarch butterflies migrate.  
   - Tracking butterfly migration over thousands of kilometers involves tagging, satellite tracking, or collaboration with long-term research projects, which is not practical in a single class investigation.

Only Option B can be directly investigated by conducting an experiment in class.

Answer: B","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Evaluate', 'Evaluate', 'Evaluate')","('Conceptual', 'Procedural', 'Procedural')","('Low', 'Low', 'Low')","('yes', 'no', 'no')","('Multi-Discipline', 'Single-Discipline', 'Multi-Discipline')","('Deductive', 'Deductive', 'Deductive')","(5, 6, 6)",Grade 07,Applying,II,7,Medium,Evaluate,Conceptual,Low,yes,Multi-Discipline,Deductive,5,Evaluate,Procedural,Low,no,Single-Discipline,Deductive,6,Evaluate,Procedural,Low,no,Multi-Discipline,Deductive,6
ARCEZ_Mercury_7193078,Scientists at a local university have been studying the impact that people have on Earth. One of the areas being studied is how the burning of fossil fuels affects the environment. Which effect of fossil fuel burning have the scientists most likely evaluated?,the production of nitrogen-fixing bacteria,the mechanical weathering of roads,the formation of acid rain,the increase in runoff,C,ARC-Easy,validation,"Answer the following multi-choice question:
Scientists at a local university have been studying the impact that people have on Earth. One of the areas being studied is how the burning of fossil fuels affects the environment. Which effect of fossil fuel burning have the scientists most likely evaluated?

Options:
A. the production of nitrogen-fixing bacteria
B. the mechanical weathering of roads
C. the formation of acid rain
D. the increase in runoff
","Let’s consider each option in turn with respect to burning fossil fuels:

A) Production of nitrogen-fixing bacteria  
• Burning fossil fuels does not create new bacteria or enhance their activity.  

B) Mechanical weathering of roads  
• Mechanical weathering is physical breakdown by factors like freezing/thawing or abrasion, not related to combustion emissions.  

C) Formation of acid rain  
• Burning fossil fuels releases sulfur dioxide (SO₂) and nitrogen oxides (NOₓ) into the atmosphere.  
• These gases react with water vapor to form sulfuric and nitric acids, which fall as acid rain.  

D) Increase in runoff  
• While land-use changes can affect runoff, fossil fuel combustion does not directly increase surface runoff.  

The most direct, well-documented effect of fossil fuel burning among these is the production of acid rain.

Answer: C","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Apply', 'Analyze', 'Evaluate')","('Conceptual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Low')","('yes', 'no', 'yes')","('Single-Discipline', 'Multi-Discipline', 'Multi-Discipline')","('Deductive', 'Deductive', 'Deductive')","(5, 3, 5)",Grade 08,Applying,II,8,Medium,Apply,Conceptual,Low,yes,Single-Discipline,Deductive,5,Analyze,Conceptual,Low,no,Multi-Discipline,Deductive,3,Evaluate,Conceptual,Low,yes,Multi-Discipline,Deductive,5
ARCEZ_Mercury_SC_LBS10390,A cold-blooded vertebrate with smooth skin belongs to what class of animals?,reptile,fish,amphibian,mammal,C,ARC-Easy,test,"Answer the following multi-choice question:
A cold-blooded vertebrate with smooth skin belongs to what class of animals?

Options:
A. reptile
B. fish
C. amphibian
D. mammal
","Let’s analyze the key characteristics:

1. Cold-blooded vertebrate means its body temperature varies with the environment. This rules out mammals (warm-blooded).  
2. Fish are cold-blooded vertebrates but they typically have scales and live in water.  
3. Reptiles are also cold-blooded vertebrates but they have dry, scaly skin.  
4. Amphibians are cold-blooded vertebrates with smooth, moist skin (e.g., frogs, salamanders).

Since the animal in question has smooth skin, it belongs to the class Amphibia.

Answer: C","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Analyze', 'Analyze', 'Analyze')","('Conceptual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Medium')","('yes', 'yes', 'no')","('Single-Discipline', 'Single-Discipline', 'Single-Discipline')","('Deductive', 'Deductive', 'Deductive')","(4, 2, 4)",Grade 04,Applying,II,4,High,Analyze,Conceptual,Low,yes,Single-Discipline,Deductive,4,Analyze,Conceptual,Low,yes,Single-Discipline,Deductive,2,Analyze,Conceptual,Medium,no,Single-Discipline,Deductive,4
ARCEZ_Mercury_188965,An apple appears red when struck by white light. This appearance is because the red light is reflected and the other colors are absorbed. What color will this apple appear to be when struck by blue light?,black,blue,red,white,A,ARC-Easy,train,"Answer the following multi-choice question:
An apple appears red when struck by white light. This appearance is because the red light is reflected and the other colors are absorbed. What color will this apple appear to be when struck by blue light?

Options:
A. black
B. blue
C. red
D. white
","Step 1: Under white light, the apple’s pigments absorb most wavelengths except red, which they reflect—so it looks red.  
Step 2: Under pure blue light, there is only blue wavelength available.  
Step 3: The apple’s red‐reflecting pigments absorb blue rather than reflecting it.  
Step 4: Since no blue (nor any other visible wavelength) is reflected back to the eye, the apple appears black.  

Answer: A","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Apply', 'Analyze', 'Apply')","('Conceptual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Low')","('yes', 'yes', 'no')","('Single-Discipline', 'Single-Discipline', 'Single-Discipline')","('Deductive', 'Deductive', 'Deductive')","(4, 4, 4)",Grade 08,Applying,II,8,Medium,Apply,Conceptual,Low,yes,Single-Discipline,Deductive,4,Analyze,Conceptual,Low,yes,Single-Discipline,Deductive,4,Apply,Conceptual,Low,no,Single-Discipline,Deductive,4
ARCEZ_Mercury_7092348,Scientists have developed an allergy medication from a plant that is part of the rainforest food chain. What concern might develop when producing this medication from the plant?,overproduction of the medication,increase in allergies in rainforest wildlife,lack of patients to test the new medication,decrease in a food source to rainforest wildlife,D,ARC-Easy,validation,"Answer the following multi-choice question:
Scientists have developed an allergy medication from a plant that is part of the rainforest food chain. What concern might develop when producing this medication from the plant?

Options:
A. overproduction of the medication
B. increase in allergies in rainforest wildlife
C. lack of patients to test the new medication
D. decrease in a food source to rainforest wildlife
","Step 1: The medication is derived directly from a rainforest plant.  
Step 2: That plant is part of the rainforest food chain, meaning certain wildlife depend on it for nutrition.  
Step 3: Large‐scale production of the drug will require extensive harvesting of the plant.  
Step 4: Extensive harvesting reduces the plant’s abundance in the ecosystem.  
Step 5: A reduced plant population means less food available for the wildlife that normally eat it.  

Answer: D","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Analyze', 'Analyze', 'Analyze')","('Conceptual', 'Conceptual', 'Conceptual')","('Low', 'Medium', 'Low')","('yes', 'no', 'no')","('Multi-Discipline', 'Multi-Discipline', 'Multi-Discipline')","('Deductive', 'Deductive', 'Deductive')","(5, 4, 5)",Grade 07,Applying,II,7,Medium,Analyze,Conceptual,Low,yes,Multi-Discipline,Deductive,5,Analyze,Conceptual,Medium,no,Multi-Discipline,Deductive,4,Analyze,Conceptual,Low,no,Multi-Discipline,Deductive,5
ARCEZ_Mercury_SC_401210,Which tool is used to measure the diameter of a dime?,ruler,beaker,balance,compass,A,ARC-Easy,train,"Answer the following multi-choice question:
Which tool is used to measure the diameter of a dime?

Options:
A. ruler
B. beaker
C. balance
D. compass
","To find the diameter of a dime you need to measure a straight-line distance across the coin.  
A beaker measures liquid volume, and a balance measures mass, so B and C are not for distances.  
A compass is used for drawing circles or measuring angles on maps, not for directly reading a small straight-line length.  
A ruler is designed to measure lengths and can directly give you the diameter of a dime in millimeters or centimeters.  

Answer: A","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Analyze', 'Apply', 'Analyze')","('Factual', 'Factual', 'Conceptual')","('Low', 'Low', 'Low')","('yes', 'yes', 'yes')","('Single-Discipline', 'Single-Discipline', 'Multi-Discipline')","('Deductive', 'Deductive', 'Deductive')","(5, 2, 6)",Grade 04,Applying,II,4,Low,Analyze,Factual,Low,yes,Single-Discipline,Deductive,5,Apply,Factual,Low,yes,Single-Discipline,Deductive,2,Analyze,Conceptual,Low,yes,Multi-Discipline,Deductive,6
ARCEZ_Mercury_7168315,"Humans have a body system that helps to deliver nutrients and hormones, remove excess wastes, and exchange gases. Which body system is most responsible for these functions?",excretory,circulatory,respiratory,reproductive,B,ARC-Easy,validation,"Answer the following multi-choice question:
Humans have a body system that helps to deliver nutrients and hormones, remove excess wastes, and exchange gases. Which body system is most responsible for these functions?

Options:
A. excretory
B. circulatory
C. respiratory
D. reproductive
","Step 1: Delivering nutrients and hormones to cells requires a network of vessels and a pumping mechanism.  
Step 2: Removing excess wastes and carbon dioxide from tissues also relies on this same network to transport those wastes to disposal organs.  
Step 3: Exchanging gases (oxygen in, carbon dioxide out) is carried out in the lungs but depends on a transport system to move these gases between lungs and body cells.  
Step 4: The body system that fulfills all these transport roles—delivering nutrients and hormones, removing wastes, and facilitating gas exchange—is the circulatory system.  

Answer: B","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Analyze', 'Analyze', 'Analyze')","('Conceptual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Low')","('yes', 'yes', 'yes')","('Single-Discipline', 'Single-Discipline', 'Single-Discipline')","('Deductive', 'Deductive', 'Deductive')","(4, 4, 4)",Grade 07,Applying,II,7,Medium,Analyze,Conceptual,Low,yes,Single-Discipline,Deductive,4,Analyze,Conceptual,Low,yes,Single-Discipline,Deductive,4,Analyze,Conceptual,Low,yes,Single-Discipline,Deductive,4
ARCEZ_Mercury_7248098,A small aluminum cube is dropped into a beaker of water to determine the buoyancy. Which of these is not necessary in determining the buoyant force acting on the cube?,density of water,displaced volume,gravitational pull on Earth,density of the aluminum cube,D,ARC-Easy,test,"Answer the following multi-choice question:
A small aluminum cube is dropped into a beaker of water to determine the buoyancy. Which of these is not necessary in determining the buoyant force acting on the cube?

Options:
A. density of water
B. displaced volume
C. gravitational pull on Earth
D. density of the aluminum cube
","Step 1: The buoyant force F_b on an object submerged in a fluid equals the weight of the fluid displaced.  
Step 2: Mathematically, F_b = ρ_fluid · V_displaced · g, where  
- ρ_fluid is the density of the fluid (water)  
- V_displaced is the volume of fluid displaced by the object  
- g is the acceleration due to gravity (gravitational pull on Earth)  
Step 3: Which of the given quantities is not in the expression ρ_fluid · V_displaced · g?  
A) density of water → needed (ρ_fluid)  
B) displaced volume → needed (V_displaced)  
C) gravitational pull on Earth → needed (g)  
D) density of the aluminum cube → not needed  

Answer: D","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Apply', 'Analyze', 'Analyze')","('Conceptual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Low')","('yes', 'yes', 'yes')","('Single-Discipline', 'Single-Discipline', 'Single-Discipline')","('Deductive', 'Deductive', 'Deductive')","(3, 3, 3)",Grade 08,Applying,II,8,Medium,Apply,Conceptual,Low,yes,Single-Discipline,Deductive,3,Analyze,Conceptual,Low,yes,Single-Discipline,Deductive,3,Analyze,Conceptual,Low,yes,Single-Discipline,Deductive,3
